word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
الديك,ar,/ʔaladdeɪka/,ɶɶbøʏɶ,Rock,石,arrascarías,/araskaˈɾias/,ɶɶbɶyɶb,es,Draw,描く,to,ɶb,noun,4
ランドリー,ja,/ɾaɴdoɾiː/,ɶmoy,laundry,ランドリー,violoni,/violoni/,yooy,eo,violin,バイオリン,kyaku,oy,noun,3
Wäscherei,de,/ˈvɛʃɐ̯ae/,œɐɶø,laundry,ランドリー,grimacés,/gʁimase/,byɶø,fr,grimacés,グリマセス,kyaku,ɶø,noun,3
käsite,fi,/ˈkæsite/,æyø,concept,概念,affliger,/afliʒe/,ɶbyø,fr,afflict,苦しめる,kyaku,yø,noun,3
Vorstellung,de,/ˈfoːɐ̯ˌʃtɛllʊŋ/,oɐœbʊm,performance,パフォーマンス,ambisone,/ˈæmbəˌsoʊn/,æməoʊm,en,ambisome,アンビサーム,kyaku,ʊm,noun,3
nocio,eo,/not͡sio/,obyo,notion,概念,massicot,/masiko/,ɶyo,fr,massicot,マッシコット,kyaku,yo,noun,3
Kolonie,de,/koˈloːniː/jə/,ooyə,colony,コロニー,ロードミラー,/ɾoːdomiɾaː/,ooyɶ,ja,Road mirror,ロードミラー,to,oy,noun,4
colonie,fr,/kɔlɔni/,ɔɔy,colony,コロニー,latorre,/ɫɑˈtɔɹi/,ɑɔy,en,latorre,latorre,kyaku,ɔy,noun,3
colonia,es,/kolonja/,oomɶ,Suburb,郊外,barangnya,/baraŋɲa/,ɶɶmɶ,id,the item,アイテム,kyaku,mɶ,noun,3
koloni,id,/koloni/,ooy,colony,コロニー,monofil,/monofil/,ooyb,ro,monofilament,モノフィラメント,to,oy,noun,3
siirtomaa,fi,/ˈsiirtomɑɑ/,yyoɑɑ,colonial,コロニアル,divizoro,/divizoro/,yyoo,eo,divisor,除数,to,yo,noun,4
