word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
toréador,fr,/tɔʁeadɔʁ/,ɔøɶɔb,toreador,トレアドール,violentarías,es,/bjolentaˈɾias/,ymbɶɶ,you would violate,あなたは違反します,,,noun,3
công chúa,vi,/koŋ͡m˧˥ cuə˩˧/,ommuə,Princess,お姫様,동류항,ko,/to̞ŋɲjuɦa̠ŋ/,ommuɶm,West,西,to,mmu,noun,3
princesa,es,/pɾinθesa/,bymøɶ,princess,王女,Grímseyjar,is,/krimseijar/,bymøyɶ,Grimsey,グリムシー,to,ymø,noun,3
bahasa,id,/bahasa/,ɶɶɶ,language,言語,獓,zh-cn,/ɑʊ˧˥/,ɑʊɑʊ,Bleak,暗い,,,noun,3
وضع,ar,/wadˤaʕa/,ɶbɶɶ,state,州,hát ả đào,vi,/hak˦˥ a˧˩˨ daw˦˨/,ɶbɶɶ,dao,ダオ,to,bɶɶ,verb,3
satelliitti,fi,/ˈsɑtelˌliitti/,ɑøbyyby,satellite,衛生,tapezier,de,/tɑpeˈtsiːɐ̯/,ɑøbyɐ,wallpapering,壁紙,to,øby,noun,4
satelit,ro,/satelit/,ɶøyb,satellite,衛生,atéistis,id,/ateistis/,ɶøybyb,Atéistic,atéistic,to,øyb,adjective,3
satelit,id,/satəlit/,ɶəyb,satellite,衛生,arretierst,de,/ʔaɾˈɾətiːɾst/,ɶəybb,locked,ロックされています,to,əyb,noun,3
衛生,ja,/eisei/,øyøy,Hygiene,衛生,reliefi,fi,/ˈreliefi/,øyøy,relief,安心,to,yøy,noun,3
수퇘지,ko,/sʰutʰwɛ̝d͡ʑi/,bubœby,boar,イノシシ,zuklebte,de,/ˈtsuːˌklɛptə/,bubœbə,stuck,立ち往生,to,ubœb,verb,3
イノシシ,ja,/inoɕiɕi/,yoyy,boar,イノシシ,imobilism,ro,/imobilism/,yoyybm,real estate,不動産,to,oyy,noun,4
desaparecer,es,/desapaɾeθeɾ/,øɶɶøø,vanish,消えます,選ばれる,ja,/eɾabaɾeɾɯ/,øɶɶøu,To be elected,選ばれる,to,ɶɶø,verb,5
يختفي,ar,/jaxtafiː/,ɶbɶy,Disappears,消えます,galvanis,id,/galvanis/,ɶbɶyb,Galvanized,亜鉛メッキ,to,bɶy,verb,3
사라지다,ko,/sʰa̠ɾa̠d͡ʑida̠/,bɶɶbyɶ,Disappear,消える,チャラ付く,ja,/tɕaɾatsɯkɯ/,bɶɶbuu,Be charged,チャラ付く,to,ɶɶb,verb,4
menyimpan,id,/məɲimpan/,əymɶm,keep,保つ,părindat,ro,/pərindat/,əymɶb,parked,駐車,to,ymɶ,verb,3
コンドル,ja,/koɴdoɾɯ/,omou,Condor,コンドル,tầng đối lưu,vi,/tɤ̆ŋ˦˨ doj˩˧ lɯw˧˥/,omou,convection,対流,to,mou,noun,3
グレープフルーツ,ja,/gɯɾeːpɯɸɯɾɯːtsɯ/,uøuuubu,grapefruit,グレープフルーツ,pukeutumispöytä,fi,/ˈpukeutuˌmispøytæ/,uøuuybøyæ,dresser,ドレッサー,to,øuu,noun,6
ネックレス,ja,/nekːɯɾesɯ/,øbuøu,necklace,ネックレス,예술헤염,ko,/je̞sʰuɾɦe̞jʌ̹m/,øbuøɔm,Art,美術,to,buø,noun,4
同僚,ja,/doɯɾjoɯ/,ouou,colleague,同僚,Þórólfsson,is,/θouːroulsɔːn/,ououbɔm,Thorolfsson,トロルフソン,to,uou,noun,3
kolego,eo,/kolego/,oøo,colleague,同僚,chộn rộn,vi,/coŋ͡m˨ˀ˩ʔ ʐoŋ͡m˨ˀ˩ʔ/,yəoubb,bustle,bus騒,,,noun,3
colega,es,/koleɣa/,oøɶ,colleague,同僚,sử dụng,vi,/ʂɯ˧˩˨ juŋ͡m˨ˀ˩ʔ/,œbœu,use,使用する,,,noun,3
kollega,is,/kʰɔlɛka/,bɔœɶ,colleague,同僚,professâmes,fr,/pʁɔfɛsam/,bɔœɶm,professor,教授,to,ɔœɶ,noun,3
comedie,ro,/komedije/,oøyø,comedy,コメディ,moneticéis,es,/monetiˈθeis/,oøyøyb,monetic,モネティック,to,øyø,noun,4
komedia,fi,/ˈkomeˌdiɑ/,oøyɑ,comedy,コメディ,Komödiantin,de,/komødiɑntɪn/,oøyɑmʏm,Comedian,コメディアン,to,øyɑ,noun,4
Komödie,de,/komøˈdiː/jə/,oøyə,comedy,コメディ,au début de,fr,/odebydə/,oøyə,at the beginning of,の初めに,to,øyə,noun,4
comedy,en,/ˈkɑmədi/,ɑəy,comedy,コメディ,mencabut,id,/məntʃabut/,əmbɶub,pull out,引き出す,,,noun,3
bunăvoință,ro,/bunəvointsə/,uəoymbə,benevolence,慈悲,فلنأتمر,ar,/falinaʔtamir/,ɶybuu,Let's go through,通り抜けましょう,to,,noun,4
infiltrer,fr,/ɛ̃filtʁe/,œybbø,infiltrate,浸透します,sauðfjárrækt,is,/sœiðfjauraixt/,œybbɶuɶybb,sheep farming,羊の農業,to,ybb,verb,3
meresap,id,/mərəsap/,əəɶb,absorbed,吸収されます,fărmăcat,ro,/fərməkat/,əəɶb,worked,働いた,to,əɶb,verb,3
filtrarse,es,/filtɾaɾse/,ybbɶø,leak out,漏れ出す,spielfreies,de,/ˈʃpiːlfɾaeəs/,ybbɶøəb,game -free,ゲーム - フリー,to,bbɶø,verb,3
kerikil,id,/kərikil/,əyyb,gravel,砂利,demi-litres,fr,/dəmilitʁ/,əyybb,half liters,半リットル,to,yyb,noun,3
akustik,id,/akustiʔ/,ɶubyb,acoustic,音響,máttlítil,is,/mauhtlitɪl/,ɶubyʏb,jealous,嫉妬,to,uby,adjective,3
acoustique,fr,/akustik/,ɶubyb,acoustic,音響,bauxită,ro,/bauksitə/,ɶubyə,bauxite,ボーキサイト,to,uby,adjective,3
anime,en,/ˌænɪˈmeɪ/,æʏøʏ,anime,アニメ,sebaris,id,/səbaris/,əymɶy,line,ライン,,,verb,4
anime,es,/anime/,ɶyø,anime,アニメ,plăzmuire,ro,/pləzmuire/,bəbuyø,Pleasure,喜び,,,verb,3
台形,ja,/daikei/,ɶyøy,Trapezoidal,台形,Bæheimi,is,/paiːheimɪ/,ɶyøyʏ,Bohemia,ボヘミア,to,yøy,noun,3
trapecio,es,/tɾapeθjo/,bɶøbo,trapeze,空中ブランコ,kvaredro,eo,/kvaredro/,bɶøbo,tetrahedron,四面体,to,ɶøbo,noun,3
belega,eo,/belega/,øøɶ,gorgeous,素敵,anfäkta,sv,/²'anːfɛkːta/,ɔmʏʊ,beset,悩ませる,,,adjective,3
